('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1046056 function calls (1020540 primitive calls) in 44.380 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      417    0.000    0.000    0.000    0.000 parse.py:119(_coerce_args)
       11    0.000    0.000    0.001    0.000 cookiejar.py:466(parse_ns_headers)
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
      107    0.000    0.000    0.001    0.000 copy.py:61(copy)
      112    0.000    0.000    0.001    0.000 enum.py:1551(__or__)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        9    0.000    0.000    0.001    0.000 feedparser.py:469(_parse_headers)
      162    0.000    0.000    0.002    0.000 cookiejar.py:620(request_host)
      254    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:699(_validate_timestamp_pyc)
       26    0.000    0.000    0.002    0.000 feedparser.py:216(_parsegen)
     1016    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      313    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap>:416(__enter__)
     1335    0.000    0.000    0.001    0.000 <frozen os>:766(decode)
        9    0.000    0.000    3.389    0.377 connection.py:540(getresponse)
      353    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       88    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
      779    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      311    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       28    0.000    0.000    0.002    0.000 enum.py:254(__set_name__)
      145    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
      327    0.000    0.000    0.001    0.000 <frozen _collections_abc>:804(get)
       17    0.000    0.000    0.000    0.000 <frozen codecs>:1076(make_identity_dict)
      726    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
        9    0.000    0.000    0.004    0.000 parser.py:56(parsestr)
       64    0.000    0.000    0.001    0.000 typing.py:345(_remove_dups_flatten)
  459/439    0.000    0.000    0.012    0.000 {built-in method builtins.next}
  787/781    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
    80/48    0.000    0.000    0.175    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
      354    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      404    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
       55    0.000    0.000    0.001    0.000 <frozen _collections_abc>:974(update)
     1563    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1320    0.000    0.000    0.001    0.000 <frozen _collections_abc>:868(__iter__)
