('Total Revenue', '305,453,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         1044928 function calls (1019376 primitive calls) in 9.848 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      377    0.027    0.000    0.027    0.000 {method 'rindex' of 'str' objects}
      377    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
      377    0.001    0.000    0.002    0.000 parse.py:374(urlparse)
      359    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
      358    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      354    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      354    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      354    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
      354    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap>:304(acquire)
      354    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
      354    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
      354    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
      354    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
      354    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      354    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      354    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      353    0.000    0.000    0.471    0.001 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      353    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      348    0.000    0.000    0.000    0.000 utils.py:91(<genexpr>)
      341    0.001    0.000    0.005    0.000 css_parser.py:1108(selector_iter)
      339    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      336    0.000    0.000    0.002    0.000 typing.py:166(_type_convert)
      333    0.000    0.000    0.471    0.001 <frozen importlib._bootstrap_external>:159(_path_isfile)
      327    0.000    0.000    0.001    0.000 <frozen _collections_abc>:804(get)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
      325    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      325    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      322    0.000    0.000    0.001    0.000 css_parser.py:248(css_unescape)
      321    0.003    0.000    0.175    0.001 __init__.py:280(_compile)
      320    0.001    0.000    0.004    0.000 typing.py:175(_type_check)
      319    0.000    0.000    0.175    0.001 __init__.py:226(compile)
      318    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      316    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
    314/4    0.003    0.000    2.102    0.526 <frozen importlib._bootstrap>:1349(_find_and_load)
    313/4    0.002    0.000    2.102    0.526 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      313    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
      313    0.000    0.000    0.010    0.000 <frozen importlib._bootstrap>:416(__enter__)
      313    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      311    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      311    0.003    0.000    0.541    0.002 <frozen importlib._bootstrap>:1240(_find_spec)
      311    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      311    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      311    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
